Abandon All Hope,Skirmish,2,R
Absolute Zero,Skirmish,2,RC
Afterflood,Skirmish,2,RCS
Antiga Bay,Skirmish,2,RC
Battle Marshes,Skirmish,2,RC
Blood Ravine,Skirmish,2,RCS
Blood River,Skirmish,2,RC
Blood River [Rem],Skirmish,2,RC
Bloody Hell,Skirmish,2,RC
Bloody Hell [Ed],Skirmish,2,RC
Conquered Lands,Skirmish,2,RCS
Deadly Fun Archeology,Skirmish,2,
Deadman's Crossing,Skirmish,2,RCS
Dicey Ambush,Skirmish,2,RC
Ecstasy's Peril,Skirmish,2,RC
Eden,Skirmish,2,R
Emerald River,Skirmish,2,RCS
Emperor's Valley,Skirmish,2,RC
Faceoff,Skirmish,2,RCS
Fallen City,Skirmish,2,RCS
Fata Morga,Skirmish,2,RC
Fata Morga,Skirmish,2,RC
Fear,Skirmish,2,RCS
Fortress Divided,Skirmish,2,RCS
Frazier's Demise,Skirmish,2,RC
Frostbite River,Skirmish,2,RCS
Galenas Crusade,Skirmish,2,RC
Grand Regent's Park,Skirmish,2,RC
Haines' Demise,Skirmish,2,RCS
Hellfire Canyon,Skirmish,2,RC
Jungle Morning,Skirmish,2,RC
Light Brigade,Skirmish,2,RC
Meeting of Minds,Skirmish,2,RCS
Moonbase,Skirmish,2,C
Nocturne,Skirmish,2,RCS
Operation Jungle Assault,Skirmish,2,RC
Outer Reaches,Skirmish,2,RC
Overgrown Chapel,Skirmish,2,RCS
Quest's Triumph,Skirmish,2,RC
Railway,Skirmish,2,RC
Riverbed,Skirmish,2,RCS
Sands of Time v1.1,Skirmish,2,RC
Short Below Zero,Skirmish,2,RC
Shrine of Excellion,Skirmish,2,RC
Shrine of Excellion [Rem],Skirmish,2,RC
Snowy Battlefield 1.2,Skirmish,2,RCS
Tainted Pair,Skirmish,2,RCS
Tazin's Folly,Skirmish,2,C
The Wall,Skirmish,2,RCS
Titan's Fall,Skirmish,2,RCS
Titan's Fall [Rem],Skirmish,2,
Tranquility's End,Skirmish,2,RC
Tranquility's End [Rem],Skirmish,2,RC
Urban Turmoil (Random Map),Skirmish,2,RCS
Urban Turmoil,Skirmish,2,RCS
Valley of Khorne,Skirmish,2,RC
Valthayan Highlands,Skirmish,2,RCS
Velvet Duress,Skirmish,2,RC
Vile Reef,Skirmish,2,RCS
Volatile Ground,Skirmish,2,RCS
Vortex Plateau,Skirmish,2,RC
WarpGate,Skirmish,2,RS
Fortress,Skirmish,3,RC
Afterflood,Skirmish,4,RCS
Antiga Bay,Skirmish,4,RC
Ariel Highlands,Skirmish,4,RC
Biffy's Peril,Skirmish,4,RCS
Broken Lands,Skirmish,4,RCS
Cape of Despair,Skirmish,4,RC
Capital Sangonomiya - Bloody Aftermath,Skirmish,4,RCS
Cold War,Skirmish,4,RCS
Cris Nocturnes,Skirmish,4,RCS
Doom Spiral,Skirmish,4,C
Dread Peak,Skirmish,4,RC
Eres Badlands,Skirmish,4,RCS
Forgotten Isles,Skirmish,4,RC
Gor'Hael Crater,Skirmish,4,RC
Gritty Sandpaper,Skirmish,4,RCS
Gurmun's Pass,Skirmish,4,RC
Ice Flow,Skirmish,4,RC
Into the Breach,Skirmish,4,R
Iron Line,Skirmish,4,RCS
Janus Savannah,Skirmish,4,RC
Janus Savannah [Close Teams],Skirmish,4,RC
Living Contradiction,Skirmish,4,RCS
Marconia,Skirmish,4,RCS
Mariza,Skirmish,4,RCS
Mountain Trail,Skirmish,4,RC
Murad Swamplands,Skirmish,4,RCS
Panrea Lowlands,Skirmish,4,R
Quatra,Skirmish,4,RCS
Rokclaw Foothills,Skirmish,4,RC
Saint's Square,Skirmish,4,RCS
Snowblind,Skirmish,4,RC
Tainted Soul,Skirmish,4,RC
Tartarus Center,Skirmish,4,RCS
The Skerries,Skirmish,4,RC
Tiboraxx,Skirmish,4,RC
Tiboraxx [Close Teams],Skirmish,4,RC
Torrents,Skirmish,4,RCS
Van de Mar Mountains,Skirmish,4,RC
Volcanic Reaction,Skirmish,4,RCS
Vraks Prime - Astroport,Skirmish,4,RCS
WarpGate,Skirmish,4,RS
Aceria Forests,Skirmish,5,
The Eye of Gorgon,Skirmish,5,RCS
Totmacher's Prison,Skirmish,5,RCS
Vayasastan,Skirmish,5,RCS
Agamar Desert,Skirmish,6,RS
Agamar Desert [Close Teams],Skirmish,6,RS
Alvarus,Skirmish,6,RCS
Bloodshed Alley,Skirmish,6,RCS
Capricus,Skirmish,6,RCS
Confrontation,Skirmish,6,RCS
Crossroads,Skirmish,6,RC
Crozius Arcanum,Skirmish,6,C
Dread Alley,Skirmish,6,RC
Faded Dreams,Skirmish,6,RC
Fury Island,Skirmish,6,RC
Ghost City II,Skirmish,6,RC
Hyperion Peaks,Skirmish,6,RC
Inner Strength,Skirmish,6,RCS
Irridene,Skirmish,6,RCS
Jungle Walls,Skirmish,6,RC
Kasyr Lutien,Skirmish,6,RCS
Kaurav City,Skirmish,6,RCS
Lake Inixis,Skirmish,6,RCS
Mortalis,Skirmish,6,RC
Nirraein,Skirmish,6,RCS
Orestan Plains,Skirmish,6,R
Orestan Plains [Close Teams],Skirmish,6,R
Parmenian Heath,Skirmish,6,RCS
Parmenie,Skirmish,6,RC
Pavonian Heartland,Skirmish,6,RC
Pavonis,Skirmish,6,R
Payne's Retribution,Skirmish,6,RCS
Principian Badlands,Skirmish,6,RC
Ranhksgrad,Skirmish,6,RCS
Rhean Floodlands,Skirmish,6,RC
Shakun Coast,Skirmish,6,RCS
Streets of Vogan,Skirmish,6,RCS
Tavesta Wastelands,Skirmish,6,RCS
Temple of Cyrene,Skirmish,6,RCS
Testing Grounds,Skirmish,6,RCS
Thargorum,Skirmish,6,RC
Tristram Plains,Skirmish,6,RC
Trivian Groves,Skirmish,6,RCS
Vandean Coast,Skirmish,6,CS
Western Barrens,Skirmish,6,RC
Ascension Drifts,Skirmish,8,RCS
Burial Grounds,Skirmish,8,RCS
Cerulea,Skirmish,8,RCS
Community Map Project II - Unification Edition,Skirmish,8,
Daturias Pits,Skirmish,8,RC
Demes Northlands,Skirmish,8,RCS
Doom Chamber,Skirmish,8,RCS
Doom Chamber [Close Teams],Skirmish,8,RCS
Forbidden Jungle,Skirmish,8,RS
Forbidden Jungle [Close Teams],Skirmish,8,RS
Forest of Hate,Skirmish,8,RCS
Jalagand Lowlands,Skirmish,8,RC
Kier Harrad,Skirmish,8,RC
Lights Out,Skirmish,8,RCS
Lost Hope,Skirmish,8,RCS
Monse,Skirmish,8,RCS
Morholt Range,Skirmish,8,RCS
Morriah Coast,Skirmish,8,RCS
Oasis of Sharr,Skirmish,8,R
Penal Colony,Skirmish,8,RCS
Rhean Jungle,Skirmish,8,
strovinivich_river_front,Skirmish,8,
Thur'Abis Plateau,Skirmish,8,R
Thur'Abis Plateau [Close Teams],Skirmish,8,R